trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
85,False,"{'e': 0.17956282684956196, 'a': 0.5}",20,0,-45.084156776550444,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
86,False,"{'e': 0.1759715703125707, 'a': 0.5}",20,0,-47.65843031391561,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
87,False,"{'e': 0.1724521389063193, 'a': 0.5}",20,0,-20.738036726930797,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
88,False,"{'e': 0.16900309612819292, 'a': 0.5}",20,0,-29.861716616424363,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
89,False,"{'e': 0.16562303420562907, 'a': 0.5}",20,0,-34.069283787719314,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
90,False,"{'e': 0.16231057352151648, 'a': 0.5}",30,0,-63.976381508538225,"{0: 13, 1: 17, 2: 0, 3: 0, 4: 0}",0
91,False,"{'e': 0.15906436205108615, 'a': 0.5}",25,0,-33.537603084137416,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
92,False,"{'e': 0.15588307481006441, 'a': 0.5}",20,0,-39.66530217987493,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
93,False,"{'e': 0.15276541331386312, 'a': 0.5}",20,0,-34.37647197963676,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
94,False,"{'e': 0.14971010504758586, 'a': 0.5}",30,0,-60.81171567995135,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
95,False,"{'e': 0.14671590294663414, 'a': 0.5}",25,0,-46.00692944059998,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
96,False,"{'e': 0.14378158488770146, 'a': 0.5}",25,0,-35.57612946746891,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
97,False,"{'e': 0.14090595318994742, 'a': 0.5}",30,0,-38.740268677442316,"{0: 17, 1: 13, 2: 0, 3: 0, 4: 0}",0
98,False,"{'e': 0.13808783412614847, 'a': 0.5}",35,0,-70.9255113092726,"{0: 16, 1: 19, 2: 0, 3: 0, 4: 0}",0
99,False,"{'e': 0.13532607744362551, 'a': 0.5}",20,0,-53.03591536051384,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
100,False,"{'e': 0.132619555894753, 'a': 0.5}",25,0,-46.57225551910547,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
101,False,"{'e': 0.12996716477685794, 'a': 0.5}",25,0,-29.483352177254694,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
102,False,"{'e': 0.12736782148132078, 'a': 0.5}",20,0,-54.06045967599502,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
103,False,"{'e': 0.12482046505169436, 'a': 0.5}",20,0,-44.838508925743284,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
104,False,"{'e': 0.12232405575066048, 'a': 0.5}",25,0,-49.69122669357711,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
105,False,"{'e': 0.11987757463564727, 'a': 0.5}",25,0,-41.50404731660353,"{0: 13, 1: 12, 2: 0, 3: 0, 4: 0}",0
106,False,"{'e': 0.11748002314293432, 'a': 0.5}",25,0,-68.68269825710016,"{0: 10, 1: 15, 2: 0, 3: 0, 4: 0}",0
107,False,"{'e': 0.11513042268007563, 'a': 0.5}",20,0,-33.7403181952054,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
108,False,"{'e': 0.11282781422647412, 'a': 0.5}",25,0,-54.196964495028176,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
109,False,"{'e': 0.11057125794194463, 'a': 0.5}",20,0,-43.49214552298697,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
110,False,"{'e': 0.10835983278310574, 'a': 0.5}",20,0,-37.079967083544076,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
111,False,"{'e': 0.10619263612744362, 'a': 0.5}",35,0,-63.109118496982,"{0: 20, 1: 15, 2: 0, 3: 0, 4: 0}",0
112,False,"{'e': 0.10406878340489474, 'a': 0.5}",20,0,-44.39163459249716,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
113,False,"{'e': 0.10198740773679685, 'a': 0.5}",25,0,-56.80174966522903,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
114,False,"{'e': 0.09994765958206091, 'a': 0.5}",20,0,-50.40021810892401,"{0: 8, 1: 12, 2: 0, 3: 0, 4: 0}",0
115,False,"{'e': 0.0979487063904197, 'a': 0.5}",25,0,-58.535554383207135,"{0: 12, 1: 13, 2: 0, 3: 0, 4: 0}",0
116,False,"{'e': 0.0959897322626113, 'a': 0.5}",30,0,-71.38122297693626,"{0: 14, 1: 16, 2: 0, 3: 0, 4: 0}",0
117,False,"{'e': 0.09406993761735907, 'a': 0.5}",20,0,-33.08211965585653,"{0: 12, 1: 8, 2: 0, 3: 0, 4: 0}",0
118,False,"{'e': 0.0921885388650119, 'a': 0.5}",20,0,-42.52112186344918,"{0: 9, 1: 11, 2: 0, 3: 0, 4: 0}",0
119,False,"{'e': 0.09034476808771166, 'a': 0.5}",25,0,-38.60785455891867,"{0: 15, 1: 10, 2: 0, 3: 0, 4: 0}",0
120,False,"{'e': 0.08853787272595742, 'a': 0.5}",20,0,-25.768517929762268,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
121,False,"{'e': 0.08676711527143827, 'a': 0.5}",20,0,-23.189455441261103,"{0: 11, 1: 9, 2: 0, 3: 0, 4: 0}",0
122,False,"{'e': 0.0850317729660095, 'a': 0.5}",30,0,-39.258124297535815,"{0: 16, 1: 14, 2: 0, 3: 0, 4: 0}",0
123,False,"{'e': 0.08333113750668932, 'a': 0.5}",35,0,-83.98243576274855,"{0: 16, 1: 19, 2: 0, 3: 0, 4: 0}",0
