trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
69,False,"{'e': 0.24808426683434853, 'a': 0.5}",20,14,3.1957107490001344,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
70,False,"{'e': 0.24312258149766156, 'a': 0.5}",20,0,23.460575735135755,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
71,False,"{'e': 0.2382601298677083, 'a': 0.5}",20,3,8.119044775904785,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
72,False,"{'e': 0.23349492727035415, 'a': 0.5}",25,14,20.064181376527326,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'e': 0.22882502872494706, 'a': 0.5}",20,10,14.386688934516258,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
74,False,"{'e': 0.22424852815044813, 'a': 0.5}",20,6,22.78517097320234,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'e': 0.21976355758743915, 'a': 0.5}",20,0,4.786479591223683,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
76,False,"{'e': 0.21536828643569036, 'a': 0.5}",20,6,15.782703490928434,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
77,False,"{'e': 0.21106092070697655, 'a': 0.5}",20,2,2.4766030776530292,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
78,False,"{'e': 0.20683970229283702, 'a': 0.5}",20,12,15.637479212318741,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'e': 0.20270290824698028, 'a': 0.5}",20,14,14.765660808041535,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'e': 0.19864885008204067, 'a': 0.5}",30,8,21.337024986942822,"{0: 20, 1: 1, 2: 1, 3: 0, 4: 0}",1
81,False,"{'e': 0.19467587308039985, 'a': 0.5}",30,23,5.176789537763171,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
82,False,"{'e': 0.19078235561879187, 'a': 0.5}",20,14,11.5903887549233,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
83,False,"{'e': 0.18696670850641603, 'a': 0.5}",25,11,26.348475610263584,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'e': 0.18322737433628772, 'a': 0.5}",25,13,13.42339336066528,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
85,False,"{'e': 0.17956282684956196, 'a': 0.5}",20,6,23.37056377340785,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'e': 0.1759715703125707, 'a': 0.5}",20,14,12.521772157475162,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
87,False,"{'e': 0.1724521389063193, 'a': 0.5}",20,5,10.47788583367446,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
88,False,"{'e': 0.16900309612819292, 'a': 0.5}",20,1,8.641630854906317,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 0}",1
89,False,"{'e': 0.16562303420562907, 'a': 0.5}",25,13,14.143406370967845,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
90,False,"{'e': 0.16231057352151648, 'a': 0.5}",30,19,-21.29279189179016,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'e': 0.15906436205108615, 'a': 0.5}",30,18,21.690644219792716,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'e': 0.15588307481006441, 'a': 0.5}",25,0,18.13250967348159,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
93,False,"{'e': 0.15276541331386312, 'a': 0.5}",35,21,30.86062709466774,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'e': 0.14971010504758586, 'a': 0.5}",20,8,24.20955890400974,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
95,False,"{'e': 0.14671590294663414, 'a': 0.5}",35,10,27.935092336321393,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
96,False,"{'e': 0.14378158488770146, 'a': 0.5}",25,17,4.476241019000765,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
97,False,"{'e': 0.14090595318994742, 'a': 0.5}",25,20,9.887800372315798,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'e': 0.13808783412614847, 'a': 0.5}",20,5,4.145298083620878,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
99,False,"{'e': 0.13532607744362551, 'a': 0.5}",25,9,33.67689393379446,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'e': 0.132619555894753, 'a': 0.5}",25,13,9.809674796105917,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'e': 0.12996716477685794, 'a': 0.5}",25,10,28.886195286400202,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
102,False,"{'e': 0.12736782148132078, 'a': 0.5}",25,14,17.780520031696863,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'e': 0.12482046505169436, 'a': 0.5}",20,13,11.427661994201847,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'e': 0.12232405575066048, 'a': 0.5}",25,8,33.04610951074196,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
105,False,"{'e': 0.11987757463564727, 'a': 0.5}",30,20,16.720935075098218,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'e': 0.11748002314293432, 'a': 0.5}",30,16,19.27411526631535,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'e': 0.11513042268007563, 'a': 0.5}",25,11,23.398518493895004,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'e': 0.11282781422647412, 'a': 0.5}",25,9,6.010930065185707,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
109,False,"{'e': 0.11057125794194463, 'a': 0.5}",20,10,-21.049286757655054,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
110,False,"{'e': 0.10835983278310574, 'a': 0.5}",25,13,17.22407040665477,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'e': 0.10619263612744362, 'a': 0.5}",20,10,18.488797786366344,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'e': 0.10406878340489474, 'a': 0.5}",30,23,11.721080002920083,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'e': 0.10198740773679685, 'a': 0.5}",20,13,15.427684720570525,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'e': 0.09994765958206091, 'a': 0.5}",20,11,12.874437155882443,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
115,False,"{'e': 0.0979487063904197, 'a': 0.5}",25,18,-29.902010077116493,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'e': 0.0959897322626113, 'a': 0.5}",20,8,17.997636465250714,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'e': 0.09406993761735907, 'a': 0.5}",20,16,8.617922145795815,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'e': 0.0921885388650119, 'a': 0.5}",20,13,11.238166098308955,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
119,False,"{'e': 0.09034476808771166, 'a': 0.5}",20,16,8.499479979585242,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'e': 0.08853787272595742, 'a': 0.5}",25,16,14.147648593060051,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'e': 0.08676711527143827, 'a': 0.5}",20,16,7.598544249290782,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'e': 0.0850317729660095, 'a': 0.5}",20,16,8.723302308839399,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'e': 0.08333113750668932, 'a': 0.5}",25,3,13.449546225592671,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'e': 0.08166451475655553, 'a': 0.5}",30,10,39.98096566594789,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'e': 0.08003122446142442, 'a': 0.5}",30,16,25.423561590771,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'e': 0.07843059997219594, 'a': 0.5}",25,11,25.730013689272084,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'e': 0.07686198797275202, 'a': 0.5}",30,15,23.602144034733158,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'e': 0.07532474821329699, 'a': 0.5}",20,6,-15.799415800322569,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
129,False,"{'e': 0.07381825324903105, 'a': 0.5}",20,10,16.887138346995293,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'e': 0.07234188818405042, 'a': 0.5}",25,16,19.742810921290168,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
131,False,"{'e': 0.07089505042036941, 'a': 0.5}",25,15,17.943924649564448,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
132,False,"{'e': 0.06947714941196202, 'a': 0.5}",30,18,-16.813661770802483,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'e': 0.06808760642372277, 'a': 0.5}",20,12,12.859762836816229,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'e': 0.06672585429524831, 'a': 0.5}",25,5,35.31732002182087,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
135,False,"{'e': 0.06539133720934334, 'a': 0.5}",25,17,14.646428532041895,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
136,False,"{'e': 0.06408351046515648, 'a': 0.5}",25,17,11.992377163024859,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'e': 0.06280184025585335, 'a': 0.5}",25,20,9.436171745594168,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'e': 0.061545803450736285, 'a': 0.5}",30,4,36.065154719986445,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'e': 0.060314887381721555, 'a': 0.5}",25,13,10.593435771014985,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
140,False,"{'e': 0.05910858963408712, 'a': 0.5}",25,15,18.81540039926937,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'e': 0.05792641784140538, 'a': 0.5}",20,16,8.467279278697854,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'e': 0.05676788948457727, 'a': 0.5}",25,14,21.96395769157136,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'e': 0.055632531694885724, 'a': 0.5}",25,3,22.916837765337,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
144,False,"{'e': 0.054519881060988006, 'a': 0.5}",20,9,13.361339693856857,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
145,False,"{'e': 0.05342948343976824, 'a': 0.5}",35,24,20.602408899425296,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'e': 0.052360893770972874, 'a': 0.5}",20,9,5.855607394408038,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'e': 0.05131367589555342, 'a': 0.5}",20,0,34.22169149427849,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'e': 0.05028740237764235, 'a': 0.5}",25,12,19.633248772647644,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'e': 0.0492816543300895, 'a': 0.5}",35,22,25.842400815071926,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,True,"{'e': 0.0, 'a': 0.0}",30,23,14.648597934998046,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'e': 0.0, 'a': 0.0}",25,18,12.543452195632423,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'e': 0.0, 'a': 0.0}",20,7,28.119726831888734,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'e': 0.0, 'a': 0.0}",30,18,20.766931773786006,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'e': 0.0, 'a': 0.0}",25,18,12.436660069384128,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'e': 0.0, 'a': 0.0}",20,12,15.004736913167289,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'e': 0.0, 'a': 0.0}",25,15,16.91378716550462,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'e': 0.0, 'a': 0.0}",30,21,15.564029011325353,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'e': 0.0, 'a': 0.0}",25,19,10.726261417397257,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'e': 0.0, 'a': 0.0}",25,15,21.043403407795974,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
