trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'e': 0.13808783412614847, 'a': 0.5}",20,15,9.95079138150459,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'e': 0.13532607744362551, 'a': 0.5}",25,14,1.2554830514636681,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
100,False,"{'e': 0.132619555894753, 'a': 0.5}",20,11,3.4835458168013895,"{0: 7, 1: 2, 2: 0, 3: 0, 4: 0}",1
101,False,"{'e': 0.12996716477685794, 'a': 0.5}",25,10,-18.841315176242922,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
102,False,"{'e': 0.12736782148132078, 'a': 0.5}",20,16,9.025634190393106,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
103,False,"{'e': 0.12482046505169436, 'a': 0.5}",30,20,18.816831649409757,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'e': 0.12232405575066048, 'a': 0.5}",25,14,-27.555046530227653,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 1}",1
105,False,"{'e': 0.11987757463564727, 'a': 0.5}",25,18,15.462455567048055,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'e': 0.11748002314293432, 'a': 0.5}",25,0,-29.553279080592503,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
107,False,"{'e': 0.11513042268007563, 'a': 0.5}",20,15,2.990371657637494,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'e': 0.11282781422647412, 'a': 0.5}",30,0,-30.927852489668492,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",1
109,False,"{'e': 0.11057125794194463, 'a': 0.5}",25,13,21.150422633625848,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
110,False,"{'e': 0.10835983278310574, 'a': 0.5}",25,16,19.452716671582696,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'e': 0.10619263612744362, 'a': 0.5}",25,8,17.376894216417856,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
112,False,"{'e': 0.10406878340489474, 'a': 0.5}",30,17,26.865991426762704,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
113,False,"{'e': 0.10198740773679685, 'a': 0.5}",30,12,0.8549095831054927,"{0: 16, 1: 1, 2: 0, 3: 1, 4: 0}",1
114,False,"{'e': 0.09994765958206091, 'a': 0.5}",25,19,6.20908743516251,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
115,False,"{'e': 0.0979487063904197, 'a': 0.5}",20,10,18.65956978949389,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
116,False,"{'e': 0.0959897322626113, 'a': 0.5}",30,14,26.418454208935852,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'e': 0.09406993761735907, 'a': 0.5}",20,14,12.295774742696608,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'e': 0.0921885388650119, 'a': 0.5}",25,12,18.360332553313466,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
119,False,"{'e': 0.09034476808771166, 'a': 0.5}",25,8,14.9562499721864,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'e': 0.08853787272595742, 'a': 0.5}",20,9,21.884374982253213,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'e': 0.08676711527143827, 'a': 0.5}",20,16,7.259126117813632,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
122,False,"{'e': 0.0850317729660095, 'a': 0.5}",25,5,35.70713290702536,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
123,False,"{'e': 0.08333113750668932, 'a': 0.5}",35,17,22.73758282293275,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
124,False,"{'e': 0.08166451475655553, 'a': 0.5}",25,14,21.75067874121819,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'e': 0.08003122446142442, 'a': 0.5}",20,16,6.4436338852546795,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'e': 0.07843059997219594, 'a': 0.5}",25,14,-1.7053785488761624,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
127,False,"{'e': 0.07686198797275202, 'a': 0.5}",20,15,10.555625617343226,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'e': 0.07532474821329699, 'a': 0.5}",30,23,11.323713663008924,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'e': 0.07381825324903105, 'a': 0.5}",30,19,22.533224969803708,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'e': 0.07234188818405042, 'a': 0.5}",25,0,38.570521865837236,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
131,False,"{'e': 0.07089505042036941, 'a': 0.5}",20,5,-13.103063123177115,"{0: 12, 1: 1, 2: 1, 3: 1, 4: 0}",1
132,False,"{'e': 0.06947714941196202, 'a': 0.5}",20,3,17.375825298768838,"{0: 15, 1: 2, 2: 0, 3: 0, 4: 0}",1
133,False,"{'e': 0.06808760642372277, 'a': 0.5}",25,16,14.484196590724686,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
134,False,"{'e': 0.06672585429524831, 'a': 0.5}",20,0,-9.16783572544545,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
135,False,"{'e': 0.06539133720934334, 'a': 0.5}",30,22,-41.05232485122437,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
136,False,"{'e': 0.06408351046515648, 'a': 0.5}",20,9,18.275397920476824,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'e': 0.06280184025585335, 'a': 0.5}",25,20,7.955756587004318,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'e': 0.061545803450736285, 'a': 0.5}",25,10,26.057131001096014,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'e': 0.060314887381721555, 'a': 0.5}",20,0,-35.5732521312702,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",1
140,False,"{'e': 0.05910858963408712, 'a': 0.5}",30,11,31.087462251218017,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'e': 0.05792641784140538, 'a': 0.5}",20,5,28.115458329152354,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
142,False,"{'e': 0.05676788948457727, 'a': 0.5}",25,6,22.992761388533204,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'e': 0.055632531694885724, 'a': 0.5}",20,5,26.855776288750093,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
144,False,"{'e': 0.054519881060988006, 'a': 0.5}",20,8,8.546370134378096,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
145,False,"{'e': 0.05342948343976824, 'a': 0.5}",25,17,14.737631733468662,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
